,ident,Code,Adresse,Surface,Type,Tutelle pédagogique,Statut
39,75010006,75010,107 rue du Faubourg Saint-Denis,1589.0,Université,Santé,Public
40,75010007,75010,107 rue du Faubourg Saint-Denis,1589.0,Autre,Santé,Public
41,75010008,75010,200/204 rue du Faubourg Saint-Denis,18322.0,Université,Enseignement Supérieur,Public
42,75010009,75010,200/204 rue du Faubourg Saint-Denis,18322.0,Autre,Santé,Public
43,75011002,75011,23 passage Ménilmontant,564.0,Autre,Enseignement Supérieur,Ville de Paris
44,75011006,75011,19 cité Voltaire,1931.0,Université,Enseignement Supérieur,Public
45,75012010,75012,49bis avenue de la Belle-Gabrielle,13465.0,,,
46,75012011,75012,9 rue Pierre Bourdan,11813.0,Autre,Enseignement Supérieur,Ville de Paris
47,75013009,75013,47 bd de l'Hôpital,33648.0,Autre,Santé,Public
48,75013013,75013,18/24 bd Auguste Blanqui,9980.0,Autre,Enseignement Supérieur,Ville de Paris
49,75013016,75013,7 rue du Banquier,1700.0,Université,Enseignement Supérieur,Public
50,75013025,75013,36 quai d'Austerlitz,8802.0,Grande Ecole (conférence),Economie,Privé
51,75013030,75013,4/20 rue Françoise Dolto,4416.0,Université,Enseignement Supérieur,Public
53,75013036,75013,26 rue Bruneseau,4254.0,Université,Enseignement Supérieur,Public
55,75014001,75014,1/15 bd Jourdan,47270.0,Grand Etablissementt,Enseignement Supérieur,Privé
56,75014002,75014,15b/37 bd Jourdan,38185.0,Grand Etablissementt,Enseignement Supérieur,Public
57,75015001,75015,1/15 rue Lacretelle,17921.0,Université,Enseignement Supérieur,Public
58,75016002,75016,1 place du Maréchal De Lattre De Tassigny,14947.0,Université,Enseignement Supérieur,Public
59,75016003,75016,143 avenue de Versailles,3804.0,Université,Enseignement Supérieur,Public
60,75016006,75016,22 avenue du Président Wilson,689.0,Autre,Enseignement Supérieur,Public
61,75017003,75017,108 bd Malesherbes,5295.0,Université,Enseignement Supérieur,Public
62,75017005,75017,29 rue Boursault,1035.0,Université,Enseignement Supérieur,Public
63,75017007,75017,6/14 avenue de la Porte de Champerret,4822.0,Grande Ecole (conférence),,
65,75018005,75018,96/100 boulevard Ney,19202.0,Autre,Santé,Public
66,75019003,75019,60/62 bd de la Villette,5064.0,Autre,Culture,Public
100,75002004,75002,2/4 rue Vivienne,3886.0,Grand Etablissementt,Enseignement Supérieur,Public
101,75002007,75002,40 rue des Jeuneurs,1405.0,Grand Etablissementt,Enseignement Supérieur,Public
102,75002008,75002,2/4 rue Vivienne,3886.0,Grand Etablissementt,Enseignement Supérieur,Public
104,75003005,75003,62 boulevard de Sébastopol,1308.0,Autre,Enseignement Supérieur,Public
105,75003010,75003,82 boulevard Sébastopol,339.0,Grand Etablissementt,Enseignement Supérieur,Public
106,75004001,75004,5 quai aux Fleurs,977.0,Autre,Justice,Public
107,75004002,75004,9 rue Malher,507.0,Université,Enseignement Supérieur,Public
